id,key,value,module,section,type,level,summary,detail
101,version,v2.2.0,CSI,META,string,G,crystaldb version string,
102,admin_ip,10.10.10.10,CSI,META,ip,G,admin node ip address,
103,region,default,CSI,META,enum,G,"upstream mirror region: default,china,europe",
104,proxy_env,"{'no_proxy': 'localhost,127.0.0.1,10.0.0.0/8,192.168.0.0/16,*.crystaldb,*.aliyun.com,mirrors.*,*.myqcloud.com,*.tsinghua.edu.cn'}",CSI,META,dict,G,global proxy env when downloading packages,
105,ca_method,create,CSI,CA,enum,G,"create,recreate,copy, create by default",
106,ca_cn,crystaldb-ca,CSI,CA,string,G,"ca common name, fixed as crystaldb-ca",
107,cert_validity,7300d,CSI,CA,interval,G,"cert validity, 20 years by default",
108,csi_seq,,CSI,CSI_ID,int,I,"csi node identity, REQUIRED",
109,csi_portal,"{'home': {'domain': 'h.crystaldb'}, 'loki': {'endpoint': '${admin_ip}:3100'}, 'grafana': {'domain': 'g.crystaldb', 'endpoint': '${admin_ip}:3000', 'websocket': True}, 'blackbox': {'endpoint': '${admin_ip}:9115'}, 'prometheus': {'domain': 'p.crystaldb', 'endpoint': '${admin_ip}:9090'}, 'alertmanager': {'domain': 'a.crystaldb', 'endpoint': '${admin_ip}:9093'}}",CSI,CSI_ID,dict,G,csi services exposed via portal,
110,repo_enabled,True,CSI,REPO,bool,G/I,create a yum repo on this csi node?,
111,repo_home,/www,CSI,REPO,path,G,"repo home dir, `/www` by default",
112,repo_name,crystaldb,CSI,REPO,string,G,"repo name, crystaldb by default",
113,repo_endpoint,http://${admin_ip}:80,CSI,REPO,url,G,access point to this repo by domain or ip:port,
114,repo_remove,False,CSI,REPO,bool,G/A,remove existing upstream repo,
115,repo_modules,"node,pgsql,csi",CSI,REPO,string,G/A,which repo modules are installed in repo_upstream,
